PartNumber,Description,Area (ft^2),Price
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,2.82,70000
Q1595B,HP StorageWorks Ultrium 960 Tape drive LTO,2.42,3000
LGP12104,LGP PDU FOR TMA LITE 3 SECTOR,3.92,700
TRT-1101-084,Polyphaser AC POWER SURGE PROTECTION 110/120 VAC,3.48,500
TRT-1101-084,Polyphaser AC POWER SURGE PROTECTION 110/120 VAC,3.3,500
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,3.45,5000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,3.91,1300
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,2.71,18400
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.65,300
DMRU-G2-1719-DC,MOBILEACCESS 6000 MID POWER REMOTE 1700/1900 MHz,3.39,6000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,3.17,1300
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,12.24,85000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,2.7,1300
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,3.07,6000
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,3.16,6000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,2.39,150000
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,2.54,180000
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,0.73,1000
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,5.44,1000
100-00261,CALIX DS1 Plug-In Card 12 Port,0.97,1800
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,6.42,4000
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,2.28,2000
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,4.39,1000
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,3.09,1700
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,7.52,900
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,2.54,2000
DMRU-G2-1719-DC,MOBILEACCESS 6000 MID POWER REMOTE 1700/1900 MHz,2.84,6000
100-00261,CALIX DS1 Plug-In Card 12 Port,0.41,1800
TBX-NAIC_RACK F-SDEN-FZW,Finished Good C FZW Super Dense Config,3.62,16000
TBX-NAIC_RACK F-MED-FZW,Finished Good B FZW Medium Config,2.98,14000
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,14.45,10000
NT3P64CA,Nortel RACK,13.14,13000
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,6.51,2000
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.23,8000
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.75,8000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,2.31,22000
550-0054-161,Genband TERMINAL SERVER MRV 48 PORT Dual DC,8.77,2000
LGP12104,LGP PDU FOR TMA LITE 3 SECTOR,3.55,700
AND45664-2,Talley WHITE TEGLAR RADOME FOR 8 FT ANTENNA,4.71,2000
DMRU-G2-1719-DC,MOBILEACCESS 6000 MID POWER REMOTE 1700/1900 MHz,3.14,6000
TBX-NAIC_RACK H-COMP-FZW,Finished Good A FZW High Complete,3.18,110000
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,5.71,9000
24HD2000,C&D Technologies LIBERTY 2000 MAX BATTERY,4.41,15000
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,4.78,143000
TRT-1101-084,Polyphaser AC POWER SURGE PROTECTION 110/120 VAC,2.57,500
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,4.48,9000
TBX-NAIC_RACK F-MED-FZW,Finished Good B FZW Medium Config,3.52,14000
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,3.06,180000
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,2.46,2000
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,4.56,2000
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,3.26,18400
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,3.64,1200
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,5.68,143000
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,4.8,143000
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,4.78,143000
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,14.11,1000
NT3P64CA,Nortel RACK,9.23,13000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,2.63,1300
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,4.33,143000
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,7.81,2000
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,3.39,70000
C72383,Nokia MEMORY MODULE,1.14,4000
25A0076DA,Print General Office Monochrome laser 20-50ppm,3.06,3000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,2.31,150000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,3.44,1300
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,2.56,150000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,3.76,150000
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,2.82,180000
AND45664-2,Talley WHITE TEGLAR RADOME FOR 8 FT ANTENNA,3.3,2000
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,3.04,18400
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,3.66,12000
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,12.88,85000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,2.5,150000
C72383,Nokia MEMORY MODULE,1.45,4000
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,5.63,143000
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,3.25,1700
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.38,300
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,3.84,70000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,7.11,900
NT3P64CA,Nortel RACK,11.72,13000
TBX-NAIC_RACK H-COMP-FZW,Finished Good A FZW High Complete,2.62,110000
Q1595B,HP StorageWorks Ultrium 960 Tape drive LTO,3.56,3000
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,4.52,143000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,7.75,900
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,5.29,143000
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,2.86,2000
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,3.5,2000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,3.27,150000
100-00261,CALIX DS1 Plug-In Card 12 Port,0.93,1800
TRT-1101-084,Polyphaser AC POWER SURGE PROTECTION 110/120 VAC,3.65,500
Q1595B,HP StorageWorks Ultrium 960 Tape drive LTO,3.81,3000
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,10.91,85000
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,2.59,1200
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,7.16,900
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,11.19,1000
550-0054-161,Genband TERMINAL SERVER MRV 48 PORT Dual DC,10.27,2000
NT3P64CA,Nortel RACK,8.65,13000
TBX-NAIC_RACK F-SDEN-FZW,Finished Good C FZW Super Dense Config,2.81,16000
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.32,8000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,3.55,22000
TBX-NAIC_RACK H-SDEN-FZW,Finished Good B FZW High Super Dense,3.34,1500
Q1595B,HP StorageWorks Ultrium 960 Tape drive LTO,3.32,3000
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,1.38,1000
TRT-1101-084,Polyphaser AC POWER SURGE PROTECTION 110/120 VAC,2.73,500
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,5.43,2000
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,4.71,2000
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,11.58,85000
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,3.83,1700
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,3.65,1700
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.39,8000
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,10.72,1000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,3.43,4000
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,3.65,6000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,7.69,900
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,3.79,18400
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.48,300
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,3.89,150000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.65,300
M5XDY,ASSY SWT ARISTA 7050QX2-32S-F,3.48,20000
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,3.0,70000
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,2.28,12000
100-00261,CALIX DS1 Plug-In Card 12 Port,0.57,1800
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,6.31,143000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,3.69,150000
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,4.87,1000
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,3.76,6000
TBX-NAIC_RACK H-COMP-FZW,Finished Good A FZW High Complete,3.6,110000
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,4.58,1000
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,7.4,1000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,6.82,900
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,2.76,150000
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,3.6,1200
DMRU-G2-1719-DC,MOBILEACCESS 6000 MID POWER REMOTE 1700/1900 MHz,3.01,6000
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,6.29,143000
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.38,8000
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,3.16,12000
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,3.28,1200
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,11.45,10000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,3.83,4000
25A0076DA,Print General Office Monochrome laser 20-50ppm,2.79,3000
AND45664-2,Talley WHITE TEGLAR RADOME FOR 8 FT ANTENNA,3.08,2000
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,3.66,143000
DCS-7050QX-32S-R,Arista 7050X 32xQSFP+ & 4xSFP+ switch,3.86,5000
550-0054-161,Genband TERMINAL SERVER MRV 48 PORT Dual DC,8.69,2000
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,0.45,1000
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,3.77,6000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,3.95,150000
25A0076DA,Print General Office Monochrome laser 20-50ppm,2.11,3000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.34,300
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,3.76,2000
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,2.85,1200
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,5.0,900
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,2.3,1200
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,3.71,2000
C72383,Nokia MEMORY MODULE,0.65,4000
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,4.5,2000
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,4.54,5000
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,4.46,2000
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,2.94,2000
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,4.72,143000
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,2.69,2000
100-00261,CALIX DS1 Plug-In Card 12 Port,0.48,1800
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,2.2,70000
100-00261,CALIX DS1 Plug-In Card 12 Port,1.01,1800
PWLA8494GT,Intel Pro/1000 GT Quad Port Server Adapter,10.4,400
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,3.16,1000
DMRU-G2-1719-DC,MOBILEACCESS 6000 MID POWER REMOTE 1700/1900 MHz,2.94,6000
TBX-NAIC_RACK F-MED-FZW,Finished Good B FZW Medium Config,2.2,14000
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,5.37,9000
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,10.58,1000
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,4.65,5000
100-00261,CALIX DS1 Plug-In Card 12 Port,0.77,1800
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,3.87,1000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,4.91,4000
PWLA8494GT,Intel Pro/1000 GT Quad Port Server Adapter,14.18,400
24HD2000,C&D Technologies LIBERTY 2000 MAX BATTERY,6.09,15000
AND45664-2,Talley WHITE TEGLAR RADOME FOR 8 FT ANTENNA,4.14,2000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,3.91,22000
DCS-7050QX-32S-R,Arista 7050X 32xQSFP+ & 4xSFP+ switch,6.45,5000
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,2.99,18400
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,5.78,1000
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,8.35,10000
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,2.27,1700
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,5.69,9000
DCS-7050QX-32S-R,Arista 7050X 32xQSFP+ & 4xSFP+ switch,6.01,5000
C72383,Nokia MEMORY MODULE,0.75,4000
TBX-NAIC_RACK H-SDEN-FZW,Finished Good B FZW High Super Dense,2.32,1500
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,2.05,12000
NT3P64CA,Nortel RACK,9.16,13000
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,3.73,180000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,3.08,1300
C72383,Nokia MEMORY MODULE,0.5,4000
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,14.61,85000
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,4.78,2000
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,13.53,85000
NT3P64CA,Nortel RACK,12.41,13000
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,3.84,1200
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,3.93,150000
AND45664-2,Talley WHITE TEGLAR RADOME FOR 8 FT ANTENNA,3.26,2000
Q1595B,HP StorageWorks Ultrium 960 Tape drive LTO,3.32,3000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,3.91,150000
DCS-7050QX-32S-R,Arista 7050X 32xQSFP+ & 4xSFP+ switch,3.08,5000
LGP12104,LGP PDU FOR TMA LITE 3 SECTOR,2.88,700
TBX-NAIC_RACK H-SDEN-FZW,Finished Good B FZW High Super Dense,3.73,1500
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,7.51,2000
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,3.17,70000
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,7.17,1000
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,3.35,28000
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,4.23,2000
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,0.6,1000
NT3P64CA,Nortel RACK,11.57,13000
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,4.37,143000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,6.02,900
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,6.11,4000
C72383,Nokia MEMORY MODULE,0.66,4000
24HD2000,C&D Technologies LIBERTY 2000 MAX BATTERY,7.89,15000
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,8.02,10000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,3.29,4000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.36,300
M5XDY,ASSY SWT ARISTA 7050QX2-32S-F,2.6,20000
Q1595B,HP StorageWorks Ultrium 960 Tape drive LTO,3.94,3000
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,6.12,9000
TBX-NAIC_RACK H-MED-FZW,Finished Good A FZW High Medium,3.76,1200
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,2.34,180000
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,3.05,28000
DMRU-G2-1719-DC,MOBILEACCESS 6000 MID POWER REMOTE 1700/1900 MHz,2.66,6000
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.26,8000
AND45664-2,Talley WHITE TEGLAR RADOME FOR 8 FT ANTENNA,2.86,2000
DCS-7050QX-32S-R,Arista 7050X 32xQSFP+ & 4xSFP+ switch,5.72,5000
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,5.68,143000
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,2.89,2000
DCS-7050QX-32S-R,Arista 7050X 32xQSFP+ & 4xSFP+ switch,5.68,5000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,2.41,1300
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,3.77,180000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,5.51,900
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,3.71,22000
550-0054-161,Genband TERMINAL SERVER MRV 48 PORT Dual DC,14.61,2000
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,2.36,28000
TBX-NAIC_RACK H-SDEN-FZW,Finished Good B FZW High Super Dense,3.84,1500
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,2.04,2000
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,3.1,9000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,3.53,22000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,3.95,4000
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,3.22,70000
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,2.67,1000
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,4.88,2000
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,1.15,1000
TN1640,Lucent Circuit Pack Memory Data Link Board,1.22,6000
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,0.77,1000
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,4.0,1000
C72383,Nokia MEMORY MODULE,1.06,4000
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,2.52,2000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,3.37,22000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,5.18,4000
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,8.62,1000
100-00261,CALIX DS1 Plug-In Card 12 Port,1.29,1800
C72383,Nokia MEMORY MODULE,0.7,4000
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,3.7,6000
25A0076DA,Print General Office Monochrome laser 20-50ppm,3.22,3000
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,2.96,6000
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,2.22,70000
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,6.85,1000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,3.41,150000
C72383,Nokia MEMORY MODULE,1.27,4000
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,5.17,2000
25A0076DA,Print General Office Monochrome laser 20-50ppm,3.22,3000
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,14.51,1000
LGP12104,LGP PDU FOR TMA LITE 3 SECTOR,2.15,700
24HD2000,C&D Technologies LIBERTY 2000 MAX BATTERY,7.74,15000
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.28,8000
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,2.24,18400
Q1595B,HP StorageWorks Ultrium 960 Tape drive LTO,3.11,3000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.59,300
E3946024CN02,AT-39P 2V VRLA 48V STRING Battery System,5.51,22000
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,3.05,2000
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,4.39,9000
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.39,8000
093-15202-018,TP4100 WALL ANTENNA WITH HARDWARE,4.42,1000
TBX-NAIC_RACK H-COMP-FZW,Finished Good A FZW High Complete,3.58,110000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,7.58,900
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,5.44,2000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.24,300
TN1640,Lucent Circuit Pack Memory Data Link Board,0.5,6000
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,2.4,28000
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,3.88,12000
24HD2000,C&D Technologies LIBERTY 2000 MAX BATTERY,7.38,15000
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,5.09,5000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,3.26,22000
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.44,8000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,3.63,150000
C72383,Nokia MEMORY MODULE,1.12,4000
TBX-NAIC_RACK F-MED-FZW,Finished Good B FZW Medium Config,3.99,14000
C72383,Nokia MEMORY MODULE,1.25,4000
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,3.81,1700
NT3P64CA,Nortel RACK,13.19,13000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,6.67,900
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,5.58,143000
M5XDY,ASSY SWT ARISTA 7050QX2-32S-F,2.27,20000
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,2.47,70000
M5XDY,ASSY SWT ARISTA 7050QX2-32S-F,2.08,20000
D1018-0040-0004,EMI 2-Post Rack 44U server rack adapter,11.74,1000
AIR-CT5508-50-K9-FG14,Cisco 5508 Series Controller for up to 50 APs,4.63,9000
VAHS-30-0428-2M,QSFP to 4 SFP+ 2M Cable,0.68,300
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,2.16,6000
DS1304002,NORTEL 8600 2 PORTS DS3 MDA for 8672 ATM,2.34,6000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,4.33,900
TBX-NAIC_RACK H-SDEN-FZW,Finished Good B FZW High Super Dense,3.11,1500
TRT-1101-084,Polyphaser AC POWER SURGE PROTECTION 110/120 VAC,3.27,500
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,3.4,22000
Q1595B,HP StorageWorks Ultrium 960 Tape drive LTO,2.01,3000
C72383,Nokia MEMORY MODULE,1.02,4000
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,2.74,1700
25A0076DA,Print General Office Monochrome laser 20-50ppm,3.63,3000
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,3.57,1000
DCS-7050QX-32S-R,Arista 7050X 32xQSFP+ & 4xSFP+ switch,5.59,5000
TBX-NAIC_RACK H-SDEN-FZW,Finished Good B FZW High Super Dense,2.31,1500
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,2.1,1300
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,5.61,143000
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,3.82,2000
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,3.19,2000
Q1595B,HP StorageWorks Ultrium 960 Tape drive LTO,3.32,3000
NT3P64CA,Nortel RACK,13.11,13000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,3.81,150000
PWR-511-DC-RED,ARISTA PSU 1RU DC 500W FRONT-TO REAR AIRFLOW,6.38,1000
25A0076DA,Print General Office Monochrome laser 20-50ppm,2.26,3000
SYS-5273-ONE,Anue Systems Net Tool Optimizer 5G SFP ports,3.19,22000
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,14.51,10000
DCS-7050QX-32S-R,Arista 7050X 32xQSFP+ & 4xSFP+ switch,3.12,5000
C2360-PWR-135WAC,Cisco Catalyst 2360 AC Power Supply 135W,7.09,900
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,3.73,12000
TBX-NAIC_RACK H-SDEN-FZW,Finished Good B FZW High Super Dense,2.62,1500
FG1240BDCBL9012,Fortinet Fortigate Bundle 1240 DC powered appliance,2.93,28000
